ENSMUSG00000100814.2	Gm28669
ENSMUSG00000132745.1	ENSMUSG00000132745
ENSMUSG00000132786.1	ENSMUSG00000132786
ENSMUSG00000025925.15	Terf1
ENSMUSG00000104379.2	Gm37509
ENSMUSG00000032719.5	Sbspon
ENSMUSG00002076565.1	Gm55274
ENSMUSG00000137819.1	ENSMUSG00000137819
ENSMUSG00000100652.2	Gm7634
ENSMUSG00000067795.14	4930444P10Rik
ENSMUSG00000136711.1	ENSMUSG00000136711
ENSMUSG00000043716.14	Rpl7
ENSMUSG00000025921.8	Rdh10
ENSMUSG00000132226.1	ENSMUSG00000132226
ENSMUSG00000104165.2	Gm38249
ENSMUSG00000100868.2	Gm28095
ENSMUSG00000025920.20	Stau2
ENSMUSG00000089982.9	Gm7568
ENSMUSG00000025939.20	Ube2w
ENSMUSG00000102457.2	Gm38342
ENSMUSG00000079658.10	Eloc
ENSMUSG00000097744.3	D030040B21Rik
ENSMUSG00000100959.2	Idi1-ps5
ENSMUSG00000025940.7	Tmem70
ENSMUSG00000125087.1	ENSMUSG00000125087
ENSMUSG00000025779.11	Ly96
ENSMUSG00000100093.2	Gm29649
ENSMUSG00000091020.4	Gm5828
ENSMUSG00000142287.1	ENSMUSG00000142287
ENSMUSG00000101640.2	Gm28376
ENSMUSG00000104133.2	4921511E07Rik
ENSMUSG00000042686.6	Jph1
ENSMUSG00000127806.1	ENSMUSG00000127806
ENSMUSG00000127769.1	ENSMUSG00000127769
ENSMUSG00000100110.3	Gm28783
ENSMUSG00000025777.9	Gdap1
ENSMUSG00000099899.3	Gm28784
ENSMUSG00000138285.1	ENSMUSG00000138285
ENSMUSG00000100272.2	Gm28785
ENSMUSG00000137468.1	ENSMUSG00000137468
ENSMUSG00000137506.1	ENSMUSG00000137506
ENSMUSG00000100398.2	Gm5251
ENSMUSG00000101589.2	Rbm6-ps1
ENSMUSG00000102048.2	Gm6075
ENSMUSG00000089534.3	Gm25166
ENSMUSG00000067780.4	Pi15
ENSMUSG00000100053.3	Gm28154
ENSMUSG00000085125.9	Gm16070
ENSMUSG00000025776.14	Crispld1
ENSMUSG00000099895.2	Gm28153
ENSMUSG00000109887.3	Gm28756
ENSMUSG00000100554.2	Gm7690
ENSMUSG00000099473.2	Gm18775
ENSMUSG00000099591.2	Gm17969
ENSMUSG00000102001.2	Gm28755
ENSMUSG00000101717.3	Gm45784
ENSMUSG00000025774.15	Crisp4
ENSMUSG00000142595.1	ENSMUSG00000142595
ENSMUSG00000070977.5	Defb44-ps
ENSMUSG00000131994.1	ENSMUSG00000131994
ENSMUSG00000073735.2	Defb18
ENSMUSG00000067773.7	Defb41
ENSMUSG00000101685.2	Gm17837
ENSMUSG00000132263.1	ENSMUSG00000132263
ENSMUSG00000132383.1	ENSMUSG00000132383
ENSMUSG00000101306.2	Gm5252
ENSMUSG00000134916.1	ENSMUSG00000134916
ENSMUSG00000088800.4	Gm24075
ENSMUSG00000101644.2	Gm28343
ENSMUSG00000099433.2	Gm28344
ENSMUSG00000089787.4	Gm15825
ENSMUSG00000042596.8	Tfap2d
ENSMUSG00000100720.2	Gm10075
ENSMUSG00000025927.14	Tfap2b
ENSMUSG00000142982.1	ENSMUSG00000142982
ENSMUSG00000100538.3	Gm28340
ENSMUSG00000101117.2	Gm28341
ENSMUSG00000100204.2	Gm4849
ENSMUSG00002076883.1	Gm55451
ENSMUSG00000141106.1	ENSMUSG00000141106
ENSMUSG00000102597.2	Gm38382
ENSMUSG00000142065.1	ENSMUSG00000142065
ENSMUSG00000136536.1	ENSMUSG00000136536
ENSMUSG00000043760.17	Pkhd1
ENSMUSG00000104095.2	Gm37315
ENSMUSG00000089914.4	4930486I03Rik
ENSMUSG00000090142.3	Gm15795
ENSMUSG00000070175.3	Gm24162
ENSMUSG00000099906.3	Lincmd1
ENSMUSG00000065559.3	Mir206
ENSMUSG00000065480.3	Mir133b
ENSMUSG00000133531.1	ENSMUSG00000133531
ENSMUSG00000025929.5	Il17a
ENSMUSG00000041872.10	Il17f
ENSMUSG00000041859.11	Mcm3
ENSMUSG00000099714.2	Gm20587
ENSMUSG00000102121.2	Gm28065
ENSMUSG00000088858.3	Gm24723
ENSMUSG00000097934.3	6720483E21Rik
ENSMUSG00000025931.16	Paqr8
ENSMUSG00000077314.3	Gm24171
ENSMUSG00000133875.1	ENSMUSG00000133875
ENSMUSG00000100929.2	Gm28064
ENSMUSG00000041809.6	Efhc1
ENSMUSG00000041779.6	Tram2
ENSMUSG00000137435.1	ENSMUSG00000137435
ENSMUSG00000099971.2	Gm28287
ENSMUSG00000129840.1	ENSMUSG00000129840
ENSMUSG00000100819.2	Gm2693
ENSMUSG00000129885.1	ENSMUSG00000129885
ENSMUSG00000099343.3	Gm28836
ENSMUSG00000025933.16	Tmem14a
ENSMUSG00000102633.2	Gm38224
ENSMUSG00000025934.16	Gsta3
ENSMUSG00000138037.1	ENSMUSG00000138037
ENSMUSG00000096375.3	Gm7094
ENSMUSG00000121505.2	ENSMUSG00000121505
ENSMUSG00000025936.18	Gm4956
ENSMUSG00000141880.1	ENSMUSG00000141880
ENSMUSG00000093963.2	Gm21909
ENSMUSG00000141838.1	ENSMUSG00000141838
ENSMUSG00000067750.4	Khdc1a
ENSMUSG00000086194.2	Gm16329
ENSMUSG00000141922.1	ENSMUSG00000141922
ENSMUSG00000094436.2	Gm16327
ENSMUSG00000041722.8	Khdc1c
ENSMUSG00000085507.2	Gm2709
ENSMUSG00000094926.2	Gm16533
ENSMUSG00000085079.4	Khdc1b
ENSMUSG00000129191.1	ENSMUSG00000129191
ENSMUSG00000085679.3	Gm16328
ENSMUSG00000028033.17	Kcnq5
ENSMUSG00000104138.2	Gm36949
ENSMUSG00000128794.1	ENSMUSG00000128794
ENSMUSG00000082935.4	Gm7658
ENSMUSG00000103748.2	Gm38243
ENSMUSG00000124418.1	ENSMUSG00000124418
ENSMUSG00000123368.1	ENSMUSG00000123368
ENSMUSG00000099692.2	Gm5696
ENSMUSG00000140384.1	ENSMUSG00000140384
ENSMUSG00000124412.1	ENSMUSG00000124412
ENSMUSG00000100418.2	Gm28239
ENSMUSG00000128972.1	ENSMUSG00000128972
ENSMUSG00000135509.1	ENSMUSG00000135509
ENSMUSG00000041670.20	Rims1
ENSMUSG00000097642.2	Gm26866
ENSMUSG00000131366.1	ENSMUSG00000131366
ENSMUSG00000141541.1	ENSMUSG00000141541
ENSMUSG00000128277.1	ENSMUSG00000128277
ENSMUSG00000101468.2	Gm7761
ENSMUSG00000101227.3	Gm29506
ENSMUSG00000073730.3	Ppp1r14bl
ENSMUSG00000141721.1	ENSMUSG00000141721
ENSMUSG00000141755.1	ENSMUSG00000141755
ENSMUSG00000089553.3	Gm24176
ENSMUSG00000102766.2	Gm6420
ENSMUSG00000134304.1	ENSMUSG00000134304
ENSMUSG00000065405.5	Mir30a
ENSMUSG00000097970.2	Gm27028
ENSMUSG00000065567.3	Mir30c-2
ENSMUSG00000100775.2	Gm29107
ENSMUSG00000133147.1	ENSMUSG00000133147
ENSMUSG00000101226.2	Gm20954
ENSMUSG00000026158.12	Ogfrl1
ENSMUSG00000138593.1	ENSMUSG00000138593
ENSMUSG00000097920.2	Gm7784
ENSMUSG00000099503.3	Gm28822
ENSMUSG00000142633.1	ENSMUSG00000142633
ENSMUSG00000026156.9	B3gat2
ENSMUSG00000026155.14	Smap1
ENSMUSG00000141937.1	ENSMUSG00000141937
ENSMUSG00000141893.1	ENSMUSG00000141893
ENSMUSG00000026154.5	Sdhaf4
ENSMUSG00000102495.2	Gm26524
ENSMUSG00000026153.16	Fam135a
ENSMUSG00000143955.1	ENSMUSG00000143955
ENSMUSG00000102398.2	Gm37580
ENSMUSG00000122847.1	ENSMUSG00000122847
ENSMUSG00000097670.2	Gm26607
